"T","intercept_Ca","slope_Ca","mean_residual_Seattle_basin","intercept_Ja","slope_Ja","intercept_NZ","slope_NZ","intercept_Tw","slope_Tw"
0.,-0.033754301197499996,0.020800511716500002,-0.12636866708086195,-0.0005529446583750001,-0.02734723875,-0.02931476287325,-0.0834525987875,0.01317675748016125,0.04771932642499999
0.01,-0.0343736696365,0.02040381306375,-0.12672268189043043,0.0002526594827625,-0.028776069125,-0.02830014957275,-0.08319883980499998,0.0120985832535,0.0468850228875
0.02,-0.0346620150505,0.018233465985387498,-0.12864145290357673,-0.00019903856349999999,-0.030456670749999998,-0.028717663953625003,-0.08296550817499998,0.011978375626499999,0.04726836905000001
0.03,-0.032014189153750004,0.01404618569,-0.13286075208095602,0.0015630913348499997,-0.036267939500000006,-0.0321773369815,-0.083556641975,0.012910306230250001,0.0479622865
0.05,-0.02800928812475,-0.01639370629725,-0.1790409302576125,0.009631226920625,-0.05772627549999999,-0.044733842720625,-0.08138297911249999,0.010570091424450001,0.032748081685
0.075,-0.0335819776925,-0.060272212219999996,-0.26165842359705976,0.013762593339375002,-0.07625619075000001,-0.0435112363025,-0.09752370141250001,0.013508881253775,0.040801586625000004
0.1,-0.025227651735,-0.077067179389125,-0.276774462153351,0.010235154091749998,-0.06803727500000001,-0.047968737568749996,-0.124030047625,0.010252059915375002,0.04577504279999999
0.15,-0.032857327788625004,-0.05138626542000001,-0.2466803898762036,-0.009497614233375,-0.050343659,-0.039382031487125,-0.11888789862499999,0.015651804935,0.040260643952499994
0.2,-0.03458785828375,-0.0166555040525,-0.17419780205816063,-0.013801794362375002,-0.035030581500000005,-0.025000917937500002,-0.08964205199124999,0.014435965303375,0.04221275772375
0.25,-0.03124035367875,0.03552376458875,-0.0879957400774202,-0.008879053851462499,-0.022592392611249998,-0.022148713141249998,-0.11874965,0.021983555944624998,0.050554266875000003
0.3,-0.027222135421624997,0.051800011881125006,-0.04654938693796568,-0.010823017867,-0.0053718362433999986,-0.010104445762250001,-0.08400784160000001,0.0196698113875,0.053314924125
0.4,-0.0457149848235,0.11065903034999999,0.02301776315080529,-0.01393108017875,0.030155087749999997,0.007677063721250001,-0.045937946405124996,0.0168888633255,0.05192628572499999
0.5,-0.031599507048,0.12928157356375,0.09922914008543522,-0.019981112062500004,0.07473341575,0.016125543815125,-0.019815379327625,0.018284056794,0.06589519125000001
0.75,-0.032778511671375,0.18490751412500003,0.2095787498528159,-0.024187499924999994,0.14135858625,0.012059182889500001,0.004010887979625,0.0061094869828375,0.08552269174999999
1.,-0.02905766329625,0.173915665,0.23675735101783552,-0.0026708645725412507,0.18875034,0.030448366818875,0.044832102464625,0.015144663302499998,0.11085033800000002
1.5,-0.023875662571875,0.20171529475,0.28640011342795674,0.004608324932265,0.24953633625000002,0.043018472656125004,0.09409885549625,0.02235719603625,0.15125173
2.,-0.03921786791675,0.23098182375,0.2823581641702665,-0.0144193421975,0.28058041375,0.046788464626250005,0.11224142191750001,0.013477585614624999,0.16836538500000003
3.,0.0004206101259999999,0.210505666125,0.2862725141924854,0.017050267357375,0.30566118875,0.058672132548750006,0.12463766950000002,0.02534372068625,0.1571751925
4.,0.018831799273375,0.24494711099999997,0.44800238887362404,0.052368336375000005,0.3071636575,0.042133992835599994,0.1365461037625,0.030810533825000003,0.13208657000000001
5.,0.016382686933749998,0.261637485375,0.5213250587396355,0.010241568942749999,0.2927403475,0.044754821700375,0.15927326262500002,0.012982342352625,0.1352846955
7.5,0.01289024091975,0.22066540775000004,0.48504635209305247,-0.005722435173,0.24873990875000002,0.037141830422875,0.12667653862125,0.013252225127624999,0.125746567875
10.,0.015757278335,0.18633673825,0.40273410996429904,-0.012161281381375,0.2144433825,0.020092163226625003,0.1090940182925,-0.0026285019687,0.112043061625
